"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2019","1,331.55","1,333.25","1,333.75","1,323.65","-","0.52%"
"Jun 10, 2019","1,324.70","1,335.80","1,336.50","1,324.10","0.27K","-1.23%"
"Jun 07, 2019","1,341.20","1,333.10","1,347.70","1,329.80","0.24K","0.27%"
"Jun 06, 2019","1,337.60","1,330.80","1,338.70","1,326.20","0.16K","0.70%"
"Jun 05, 2019","1,328.30","1,328.90","1,343.30","1,326.30","0.62K","0.37%"
"Jun 04, 2019","1,323.40","1,324.30","1,328.60","1,320.80","0.30K","0.05%"
"Jun 03, 2019","1,322.70","1,307.00","1,327.80","1,307.00","0.81K","1.29%"
"May 31, 2019","1,305.80","1,287.70","1,306.40","1,287.50","2.81K","1.45%"
"May 30, 2019","1,287.10","1,279.40","1,288.30","1,273.90","55.57K","0.48%"
"May 29, 2019","1,281.00","1,278.90","1,285.20","1,278.40","189.69K","0.31%"
"May 28, 2019","1,277.10","1,283.50","1,286.90","1,275.10","362.16K","-0.61%"
"May 27, 2019","1,284.95","1,284.25","1,286.85","1,283.25","-","0.06%"
"May 26, 2019","1,284.15","1,284.20","1,285.15","1,283.65","-","0.04%"
"May 24, 2019","1,283.60","1,283.20","1,284.70","1,280.10","218.71K","-0.14%"
"May 23, 2019","1,285.40","1,273.30","1,287.10","1,272.10","330.16K","0.88%"
"May 22, 2019","1,274.20","1,274.40","1,277.10","1,272.00","191.37K","0.08%"
"May 21, 2019","1,273.20","1,277.70","1,277.70","1,269.00","213.17K","-0.32%"
"May 20, 2019","1,277.30","1,277.60","1,278.80","1,273.30","212.18K","0.13%"
"May 17, 2019","1,275.70","1,287.20","1,289.00","1,274.60","264.57K","-0.82%"
"May 16, 2019","1,286.20","1,297.70","1,299.30","1,284.20","282.07K","-0.89%"
"May 15, 2019","1,297.80","1,298.00","1,301.70","1,293.60","247.52K","0.12%"
"May 14, 2019","1,296.30","1,300.80","1,304.20","1,294.30","222.05K","-0.42%"
"May 13, 2019","1,301.80","1,288.30","1,302.20","1,282.40","379.44K","1.12%"
"May 10, 2019","1,287.40","1,285.00","1,290.30","1,283.90","238.64K","0.17%"
"May 09, 2019","1,285.20","1,281.90","1,289.20","1,280.40","306.55K","0.30%"
"May 08, 2019","1,281.40","1,285.60","1,292.80","1,280.20","302.69K","-0.33%"
"May 07, 2019","1,285.60","1,282.40","1,287.30","1,279.10","251.09K","0.14%"
"May 06, 2019","1,283.80","1,281.80","1,287.40","1,278.10","244.34K","0.20%"
"May 03, 2019","1,281.30","1,271.60","1,283.90","1,269.00","280.32K","0.73%"
"May 02, 2019","1,272.00","1,278.50","1,279.40","1,267.30","282.50K","-0.95%"
